命令,命令描述离线签名
account_backups,备份钱包
account_check,查看本地钱包
account_delete,删除钱包，同时删除wallet文件夹下的钱包的助记词密文备份文件
account_getBalance,钱包余额
account_modify,修改钱包密码
account_new,创建钱包，同时在wallet文件夹下创建助记词的密文文件，请勿删除，否则无法备份
account_recovery,钱包恢复
account_sign,命令描述离线签名
delegate_getDelegateReward,查询当前账号可提取奖励明细
delegate_getRelatedListByDelAddr,查询当前账户地址所委托的节点的nodeId和质押Id
delegate_new,发起委托，委托已质押节点，委托给某个节点增加节点权重来获取收入
delegate_unDelegate,减持/撤销委托(全部减持就是撤销)
delegate_withdrawDelegateReward,提取账户当前所有的可提取的委托奖励
government_checkDoubleSign,查询节点是否已被举报过多签
government_declareVersion,版本声明
government_getAccuVerifiersCount,查询提案的累积可投票人数
government_getActiveVersion,查询节点的链生效版本
government_getGovernParamValue,查询最新的治理参数值
government_getProposal,查询提案
government_getTallyResult,查询提案结果
government_listGovernParam,查询治理参数列表
government_listProposal,查询提案列表
government_reportDoubleSign,举报双签
government_submitProposal,提交提案
government_vote,给提案投票
hedge_createRestrictingPlan,创建锁仓计划
hedge_getRestrictingInfo,获取锁仓计划
query_blockNumber,查询当前最高块高
query_getAvgPackTime,查询打包区块的平均时间
query_getBlockByHash,根据区块hash查询区块信息
query_getBlockByNumber,根据区块高度查询区块信息
query_getPackageReward,查询当前结算周期的区块奖励
staking_create,节点质押，适用于矿工，节点质押后才有机会参与共识，获得收益
staking_getCandidateInfo,根据nodeId查询节点质押信息
staking_getCandidateList,查询所有实时候人列表
staking_getStakingInfo,查询当前节点的质押信息
staking_getStakingReward,查询当前结算周期的质押奖励
staking_getValidatorList,查询当前共识周期的验证人列表
staking_getVerifierList,查询当前结算周期的验证人队列
staking_increase,增持质押，增加已质押节点质押金，只能由该节点的质押钱包地址发起交易
staking_unStaking,节点撤销质押(一次性发起全部撤销，多次到账)，成功后节点会从候人列表移除
staking_update,修改质押信息，只能由该节点的质押钱包地址发起交易
tx_getTransaction,根据交易哈希查询交易
tx_getTransactionReceipt,根据交易哈希查询交易回执
tx_sendOffline,发送已签名交易数据
tx_transfer,发送交易
